Num Hilos;Ticks;Resultado;;;
1;22.089;2.826,00;;;
2;4.901;2.826,00;;;
3;7.326;2.826,00;;;
4;9.859;2.826,00;;;
5;11.673;2.826,00;;;
6;11.922;2.826,00;;;
7;17.137;2.826,00;;;
8;16.730;2.826,00;;;
9;15.820;2.826,00;;;
10;21.427;2.826,00;;;
11;18.998;2.826,00;;;
12;18.460;2.826,00;;;
13;16.162;2.826,00;;;
14;16.471;2.826,00;;;
15;17.680;2.826,00;;;
16;18.465;2.826,00;;;
17;25.303;2.826,00;;;
18;24.085;2.826,00;;;
19;21.354;2.826,00;;;
20;22.270;2.826,00;;;
21;23.963;2.826,00;;;
22;24.579;2.826,00;;;
23;24.834;2.826,00;;;
24;26.016;2.826,00;;;
25;27.154;2.826,00;;;
26;29.741;2.826,00;;;
27;32.289;2.826,00;;;
28;33.261;2.826,00;;;
29;36.186;2.826,00;;;
30;41.531;2.826,00;;;
31;34.988;2.826,00;;;
32;34.783;2.826,00;;;
33;35.458;2.826,00;;;
34;37.193;2.826,00;;;
35;37.933;2.826,00;;;
36;43.550;2.826,00;;;
37;52.062;2.826,00;;;
38;55.801;2.826,00;;;
39;46.887;2.826,00;;;
40;57.482;2.826,00;;;
41;55.180;2.826,00;;;
42;72.505;2.826,00;;;
43;55.491;2.826,00;;;
44;55.161;2.826,00;;;
45;55.357;2.826,00;;;
46;60.177;2.826,00;;;
47;52.631;2.826,00;;;
48;53.581;2.826,00;;;
49;59.071;2.826,00;;;
50;62.449;2.826,00;;;
;;;;;En secuencial tarda unos 22,000 ticks. En concurrente deja de ser rentable a partir de los 16 hilos.
